question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_choices,explanation_correct,explanation_summary,explanation_point,explanation_mode
777,single,物性・化学,PC-234;PC-152;密度と質量;密度から質量を求める計算;標準;網羅,密度が0.8グラム毎立方センチメートルの液体200立方センチメートルの質量はいくらか。,,,,,,80g,160g,200g,250g,1600g,2,質量は密度と体積の積で0.8×200＝160gになる。,1:質量は0.8×200で160gになるため、80gとするのは誤りである。密度と体積を掛ける。;3:質量は160gであるため、200gとするのは誤りである。体積そのままではなく密度を掛ける。;4:質量は160gであるため、250gとするのは誤りである。密度0.8を正しく掛ける。;5:質量は160gであるため、1600gとするのは誤りである。桁を一つ間違えている。,質量は密度と体積の積で求める。質量は0.8×200で160gになる。体積を質量で割ると密度になる。したがって質量は160gが正しい。,質量は密度×体積で160gになる。,質量＝密度×体積の関係を使って求める。,verbatim
778,single,法令・制度,L-333;LAW-152;地下タンク貯蔵所;地下タンクの構造と設備;難関;総合,地下タンク貯蔵所の構造や設備に関する記述として、正しいものはどれか。,,,,,,地下タンクは、漏れを検知する必要がない。,地下タンクは、地盤面より高い位置に設ける。,地下タンクには、通気管を設けてはならない。,地下タンク貯蔵所には、危険物の漏れを検知する設備を設ける。,地下タンクは、定期点検の対象にならない。,4,地下タンク貯蔵所には漏れを検知する設備を設ける。,1:地下タンクは漏れの検知が必要であるため、検知する必要がないとするのは誤りである。漏えいに備える。;2:地下タンクは地盤面下に埋設するため、高い位置に設けるとするのは誤りである。地中に設置する。;3:地下タンクには通気管を設けるため、設けてはならないとするのは誤りである。圧力の調整に用いる。;5:地下タンク貯蔵所は定期点検の対象であるため、対象にならないとするのは誤りである。点検が必要である。,地下タンク貯蔵所には危険物の漏れを検知する管などの設備を設ける。タンクは地盤面下に埋設し上部に一定の覆いを設ける。危険物を安全に出し入れするため通気管を設ける。地下タンク貯蔵所は定期点検の対象である。したがって漏れを検知する設備を設けるとする記述が正しい。,地下タンク貯蔵所は漏れ検知の設備を設け、定期点検の対象である。,漏えい検知・埋設・通気管・定期点検の対象である点を押さえる。,verbatim
779,single,火災・消火・漏えい,PF-233;PF-143;粉じん爆発;粉じん爆発の条件;難関;総合,粉じん爆発について、正しいものはどれか。,,,,,,粉じん爆発は、金属では絶対に起こらない。,粉じんは、粒子が粗いほど激しく爆発する。,粉じん爆発は、可燃物でないものでも起こる。,粉じんが積もっていれば、爆発の危険はない。,空気中に浮遊した可燃性の粉じんは、着火すると爆発することがある。,5,浮遊した可燃性粉じんは着火で爆発し、細かいほど激しい。,1:金属粉でも粉じん爆発は起こるため、金属では絶対に起こらないとするのは誤りである。危険性がある。;2:粒子が細かいほど激しく爆発するため、粗いほど激しいとするのは誤りである。表面積が影響する。;3:粉じん爆発は可燃性の粉じんで起こるため、可燃物でないものでも起こるとするのは誤りである。;4:積もった粉じんも舞い上がると危険であるため、危険はないとするのは誤りである。浮遊で爆発する。,空気中に浮遊した可燃性の粉じんは着火すると爆発することがある。粒子が細かく表面積が大きいほど激しく爆発する。小麦粉や金属粉なども粉じん爆発を起こす。積もった粉じんも舞い上がると危険である。したがって浮遊した可燃性粉じんが着火で爆発するとする記述が正しい。,浮遊した可燃性粉じんは着火で爆発し、粒子が細かいほど激しい。,粉じん爆発の条件と粒子の細かさによる激しさを押さえる。,verbatim
780,single,法令・制度,L-334;LAW-153;危険物施設保安員;施設保安員の役割;応用;網羅,危険物施設保安員の役割や選任に関する記述として、正しいものはどれか。,,,,,,危険物施設保安員は、必ず甲種取扱者でなければならない。,危険物施設保安員の選任は、市町村長等の許可が必要である。,危険物施設保安員は、危険物保安監督者を補佐する。,危険物施設保安員は、すべての製造所等で選任する。,危険物施設保安員は、施設の点検を行ってはならない。,3,施設保安員は保安監督者を補佐し、施設の点検や整備を行う。,1:施設保安員に資格要件はないため、必ず甲種取扱者とするのは誤りである。取扱者でなくてもよい。;2:施設保安員の選任に許可や届出はいらないため、許可が必要とするのは誤りである。所有者等が選ぶ。;4:施設保安員は一定規模の施設で選任するため、すべてで選任とするのは誤りである。対象が限られる。;5:施設保安員は施設の点検を行うため、行ってはならないとするのは誤りである。整備も担当する。,危険物施設保安員は危険物保安監督者を補佐し施設の点検や整備を行う。一定の規模の製造所等で所有者等が選任する。選任に資格要件は特にない。すべての製造所等で選任するわけではない。したがって保安監督者を補佐するとする記述が正しい。,施設保安員は保安監督者を補佐し、施設の点検や整備を行う。,施設保安員の役割・資格不要・選任対象の限定を押さえる。,verbatim
781,single,火災・消火・漏えい,PF-234;PF-144;引火点の比較;石油類の引火点;応用;重点,ガソリン・灯油・軽油の引火点の比較について、正しいものはどれか。,,,,,,灯油の引火点は、ガソリンより低い。,軽油は、常温で容易に引火する。,引火点の高い液体ほど、引火しやすい。,ガソリンの引火点は、常温より高い。,ガソリンの引火点は灯油や軽油より低く、最も引火しやすい。,5,ガソリンは引火点が最も低く、灯油や軽油より引火しやすい。,1:灯油の引火点はガソリンより高いため、低いとするのは誤りである。ガソリンは特に引火点が低い。;2:軽油の引火点は45℃以上であるため、常温で容易に引火するとするのは誤りである。加熱が必要である。;3:引火点が低いほど引火しやすいため、高いほど引火しやすいとするのは誤りである。逆の関係である。;4:ガソリンの引火点は常温よりはるかに低いため、常温より高いとするのは誤りである。危険性が高い。,ガソリンの引火点はマイナス40℃以下で灯油や軽油より低く最も引火しやすい。灯油の引火点は40℃以上で常温では引火しにくい。軽油の引火点は45℃以上である。引火点が低い液体ほど引火しやすい。したがってガソリンが最も引火しやすいとする記述が正しい。,ガソリンは引火点が最も低く、灯油や軽油より引火しやすい。,引火点はガソリン<灯油<軽油の順で高くなる点を押さえる。,verbatim
782,single,法令・制度,L-335;LAW-154;免状の交付と返納;交付権者と返納命令;応用;重点,危険物取扱者免状の交付や返納について、正しいものはどれか。,,,,,,免状は、市町村長が交付する。,免状は、都道府県知事が交付する。,免状は、一度取れば取り消されることはない。,免状は、全国で使えず取得した県内でしか使えない。,免状の交付は、消防試験研究センターが行う。,2,免状は都道府県知事が交付し、違反時は返納を命じられる。,1:免状は都道府県知事が交付するため、市町村長が交付するとするのは誤りである。交付権者が異なる。;3:違反時は返納を命じられることがあるため、取り消されないとするのは誤りである。義務違反に注意する。;4:免状は全国で有効であるため、取得した県内でしか使えないとするのは誤りである。どこでも使える。;5:免状の交付は都道府県知事が行うため、センターが交付するとするのは誤りである。センターは試験を行う。,危険物取扱者免状は都道府県知事が交付する。試験は消防試験研究センターが実施する。免状は全国で有効である。法令に違反すると知事から返納を命じられることがある。したがって免状は都道府県知事が交付するとする記述が正しい。,免状は都道府県知事が交付し、全国で有効である。,交付は知事、試験実施はセンターという役割の違いを押さえる。,verbatim
783,single,物性・化学,PC-235;PC-153;熱の移動;伝導と対流と放射;応用;網羅,熱の移動の仕方について、正しいものはどれか。,,,,,,熱が物体の中を伝わっていく現象を、熱伝導という。,空気や水の流れで熱が運ばれる現象を、放射という。,電磁波で熱が伝わる現象を、対流という。,熱の放射は、真空中では起こらない。,金属は、一般に熱を伝えにくい。,1,熱の移動には伝導・対流・放射があり、物体内を伝わるのが伝導。,2:流体の流れで熱が運ばれるのは対流であるため、放射とするのは誤りである。放射は電磁波による。;3:電磁波で熱が伝わるのは放射であるため、対流とするのは誤りである。対流は流体の移動による。;4:放射は真空中でも起こるため、起こらないとするのは誤りである。太陽の熱が届くのが例である。;5:金属は一般に熱を伝えやすいため、伝えにくいとするのは誤りである。熱伝導率が大きい。,熱が物体の中を伝わっていく現象を熱伝導という。空気や水など流体の流れで熱が運ばれる現象を対流という。電磁波によって熱が伝わる現象を放射という。放射は真空中でも起こる。したがって物体の中を伝わるのを熱伝導とする記述が正しい。,伝導・対流・放射のうち、物体内を伝わるのが熱伝導である。,伝導・対流・放射の三つの熱の移動を区別する。,verbatim
784,single,法令・制度,L-336;LAW-155;屋外貯蔵所;貯蔵できる危険物の制限;応用;網羅,屋外貯蔵所で貯蔵できる危険物の制限について、正しいものはどれか。,,,,,,屋外貯蔵所では、すべての危険物を貯蔵できる。,屋外貯蔵所では、特殊引火物を貯蔵できる。,屋外貯蔵所では、ガソリンを貯蔵できる。,屋外貯蔵所では、引火点が0℃以上の第一石油類を貯蔵できる。,屋外貯蔵所は、危険物を容器に入れずに貯蔵する。,4,屋外貯蔵所は貯蔵できる危険物が限られ、引火点0℃以上の第一石油類などを扱う。,1:屋外貯蔵所は貯蔵できる危険物が限られるため、すべて貯蔵できるとするのは誤りである。制限がある。;2:特殊引火物は屋外貯蔵所で貯蔵できないため、貯蔵できるとするのは誤りである。危険性が高い。;3:ガソリンは引火点が0℃未満で対象外であるため、貯蔵できるとするのは誤りである。除かれる。;5:屋外貯蔵所は容器に入れて貯蔵するため、容器に入れずに貯蔵するとするのは誤りである。容器で扱う。,屋外貯蔵所で貯蔵できる危険物は限られ引火点が0℃以上の第一石油類などを貯蔵できる。特殊引火物や引火点が0℃未満のガソリンは貯蔵できない。危険物は容器に入れて貯蔵する。硫黄やアルコール類なども対象となる。したがって引火点0℃以上の第一石油類を貯蔵できるとする記述が正しい。,屋外貯蔵所は引火点0℃以上の第一石油類などに限り貯蔵できる。,特殊引火物やガソリンは屋外貯蔵所で貯蔵できない点を押さえる。,verbatim
785,single,火災・消火・漏えい,PF-235;PF-145;燃焼の種類;表面分解蒸発内部燃焼;難関;総合,固体や液体の燃焼の種類について、正しいものはどれか。,,,,,,木炭は、分解燃焼で燃える。,木材は、表面燃焼で燃える。,ガソリンは、表面燃焼で燃える。,セルロイドは、蒸発燃焼で燃える。,ガソリンや灯油は、蒸発した蒸気が燃える蒸発燃焼である。,5,ガソリンや灯油は蒸発燃焼、木炭は表面燃焼、木材は分解燃焼である。,1:木炭は表面燃焼で燃えるため、分解燃焼とするのは誤りである。炎を出さず表面が燃える。;2:木材は分解燃焼で燃えるため、表面燃焼とするのは誤りである。熱分解で可燃性ガスを出す。;3:ガソリンは蒸発燃焼で燃えるため、表面燃焼とするのは誤りである。蒸気になって燃える性質をもつ。;4:セルロイドは内部燃焼で燃えるため、蒸発燃焼とするのは誤りである。分子内の酸素で燃える。,ガソリンや灯油は蒸発した蒸気が燃える蒸発燃焼である。木炭やコークスは固体表面が燃える表面燃焼である。木材や石炭は熱分解でガスを出す分解燃焼である。セルロイドは分子内の酸素で燃える内部燃焼である。したがってガソリンや灯油は蒸発燃焼とする記述が正しい。,蒸発・表面・分解・内部の各燃焼を代表例で区別する。,物質ごとの燃焼の型を代表例と結びつけて覚える。,verbatim
786,single,法令・制度,L-337;LAW-156;運搬容器への収納;収納と積載の細目;応用;網羅,危険物の運搬容器への収納や積載の方法について、正しいものはどれか。,,,,,,運搬容器は、どんな向きに積んでもよい。,運搬容器は、収納口を上方に向けて積載する。,液体の危険物は、容器いっぱいに満たして収納する。,運搬容器は、落下しても構わないように積む。,危険物は、どの類も混載の制限を受けない。,2,運搬容器は収納口を上に向け、液体は空間を残して収納する。,1:運搬容器は収納口を上に向けて積むため、どんな向きでもよいとするのは誤りである。漏れを防ぐ。;3:液体は膨張に備え空間を残すため、容器いっぱいに満たすとするのは誤りである。漏えいを防ぐ。;4:運搬容器は落下しないように積むため、落下しても構わないとするのは誤りである。破損を防ぐ。;5:類の組合せで混載制限があるため、制限を受けないとするのは誤りである。混載表で確認する。,運搬容器は収納口を上方に向けて積載する。液体の危険物は温度上昇による膨張に備え容器に空間を残して収納する。落下や転倒や破損を防ぐように積む。類の組合せによっては混載が制限される。したがって収納口を上方に向けて積載するとする記述が正しい。,収納口は上向き、液体は空間を残し、混載制限を守る。,収納口の向き・液体の空間・混載制限をあわせて押さえる。,verbatim
787,single,物性・化学,PC-236;PC-154;酸と塩基;pHと液性;標準;網羅,水溶液の酸性やアルカリ性とpHの関係について、正しいものはどれか。,,,,,,pHが7より小さい水溶液は、酸性である。,pHが7の水溶液は、アルカリ性である。,pHが7より大きい水溶液は、酸性である。,酸性の水溶液は、赤色リトマス紙を青くする。,中性の水溶液は、pHが14である。,1,pH7が中性で、7より小さいと酸性、大きいとアルカリ性である。,2:pHが7は中性であるため、アルカリ性とするのは誤りである。アルカリ性はpHが7より大きい。;3:pHが7より大きいのはアルカリ性であるため、酸性とするのは誤りである。酸性はpHが7より小さい。;4:赤色リトマス紙を青くするのは塩基であるため、酸性とするのは誤りである。酸性は青を赤にする。;5:中性の水溶液はpHが7であるため、14とするのは誤りである。pH14は強いアルカリ性である。,pHが7より小さい水溶液は酸性である。pHが7の水溶液は中性である。pHが7より大きい水溶液はアルカリ性である。酸性の水溶液は青色リトマス紙を赤くする。したがってpHが7より小さいと酸性とする記述が正しい。,pH7が中性で、7未満は酸性、7超はアルカリ性である。,pHの値と液性、リトマス紙の変化を対応づける。,verbatim
788,single,法令・制度,L-338;LAW-157;簡易タンク貯蔵所;簡易貯蔵タンクの基準;難関;総合,簡易タンク貯蔵所の簡易貯蔵タンクの基準について、正しいものはどれか。,,,,,,簡易貯蔵タンクの容量に、上限はない。,簡易タンク貯蔵所には、タンクを何基でも設置できる。,簡易貯蔵タンクには、通気管を設けてはならない。,簡易貯蔵タンク1基の容量は、600L以下とする。,簡易タンク貯蔵所には、同じ品質のタンクを何基でも置ける。,4,簡易貯蔵タンクは1基600L以下、1貯蔵所に3基までである。,1:簡易貯蔵タンクの容量は600L以下であるため、上限はないとするのは誤りである。制限がある。;2:簡易タンク貯蔵所は3基まで設置できるため、何基でも設置できるとするのは誤りである。上限がある。;3:簡易貯蔵タンクには通気管を設けるため、設けてはならないとするのは誤りである。圧力を調整する。;5:同じ品質のタンクは1基までであるため、何基でも置けるとするのは誤りである。数が制限される。,簡易貯蔵タンク1基の容量は600L以下とする。1つの簡易タンク貯蔵所に設置できるタンクは3基までである。ただし同じ品質のタンクは1基までとする。タンクには通気管を設ける。したがって1基の容量は600L以下とする記述が正しい。,簡易貯蔵タンクは1基600L以下、1貯蔵所に3基までである。,容量600L以下・3基まで・同一品質1基の数値を押さえる。,verbatim
789,single,火災・消火・漏えい,PF-236;PF-146;電気設備と防爆;着火源と防爆構造;応用;重点,危険物施設の電気設備と着火源について、正しいものはどれか。,,,,,,電気設備の火花は、危険物の着火源にならない。,可燃性蒸気のある場所でも、普通の電気設備でよい。,可燃性蒸気が滞留する場所の電気設備は、防爆構造とする。,静電気は着火源になるが、電気火花は着火源にならない。,防爆構造は、危険物とは無関係の設備である。,3,可燃性蒸気が滞留する場所の電気設備は防爆構造とする。,1:電気設備の火花は着火源になるため、着火源にならないとするのは誤りである。防爆構造で防ぐ。;2:可燃性蒸気のある場所は防爆設備が必要であるため、普通の設備でよいとするのは誤りである。;4:電気火花も着火源になるため、着火源にならないとするのは誤りである。静電気とともに注意する。;5:防爆構造は危険物施設の安全に関わるため、無関係とするのは誤りである。着火を防ぐ設備である。,可燃性蒸気が滞留するおそれのある場所の電気設備は防爆構造とする。電気設備の火花は可燃性蒸気の着火源になる。スイッチの開閉などで生じる火花に注意する。静電気も電気火花もどちらも着火源になる。したがって防爆構造とするとする記述が正しい。,可燃性蒸気の滞留する場所の電気設備は防爆構造とする。,電気火花が着火源になること、防爆構造の目的を押さえる。,verbatim
790,single,法令・制度,L-339;LAW-158;応急措置と通報;事故時の措置義務;応用;重点,危険物の流出などの事故時の措置について、正しいものはどれか。,,,,,,事故が起きても、通報の義務はない。,応急措置は、消防が来てから始めればよい。,流出した危険物は、応急措置をせず放置してよい。,事故の通報は、翌日でよい。,危険物の流出などの事故時は、応急措置をとり直ちに消防機関へ通報する。,5,事故時は応急措置をとり直ちに消防機関へ通報する。,1:事故時は通報義務があるため、義務はないとするのは誤りである。速やかに知らせる必要がある。;2:応急措置は直ちに始めるため、消防が来てからでよいとするのは誤りである。初動が被害を左右する。;3:流出物は応急措置が必要であるため、放置してよいとするのは誤りである。拡散や着火を防ぐ。;4:事故の通報は直ちに行うため、翌日でよいとするのは誤りである。遅れると被害が広がる。,危険物の流出や火災などの事故が起きたときは応急措置をとり直ちに消防機関などへ通報する。拡散防止や除去などの措置を速やかに講じる。事故を発見した者も通報しなければならない。放置してはならない。したがって応急措置をとり直ちに通報するとする記述が正しい。,事故時は応急措置をとり直ちに消防機関へ通報する。,応急措置と直ちの通報がどちらも義務である点を押さえる。,verbatim
791,single,法令・制度,L-340;LAW-159;指定数量;第4類の品名と指定数量;応用;重点,第4類危険物の品名と指定数量の関係について、正しいものはどれか。,,,,,,ガソリン（第一石油類）の指定数量は、1000Lである。,特殊引火物の指定数量は、50Lである。,アルコール類の指定数量は、50Lである。,灯油（第二石油類）の指定数量は、200Lである。,動植物油類の指定数量は、1000Lである。,2,特殊引火物50L、第一石油類200L、第二石油類1000Lが基本である。,1:ガソリンの指定数量は200Lであるため、1000Lとするのは誤りである。第一石油類の非水溶性である。;3:アルコール類の指定数量は400Lであるため、50Lとするのは誤りである。50Lは特殊引火物である。;4:灯油の指定数量は1000Lであるため、200Lとするのは誤りである。第二石油類の非水溶性である。;5:動植物油類の指定数量は10000Lであるため、1000Lとするのは誤りである。桁が大きく異なる。,特殊引火物の指定数量は50Lである。ガソリンなどの第一石油類の非水溶性は200Lである。灯油や軽油などの第二石油類の非水溶性は1000Lである。アルコール類は400Lである。したがって特殊引火物の指定数量は50Lとする記述が正しい。,特殊引火物50L・第一石油類200L・第二石油類1000Lが基本である。,品名ごとの指定数量の代表値を正確に覚える。,verbatim
792,single,火災・消火・漏えい,PF-237;PF-147;消火の作用;冷却窒息除去抑制;応用;重点,消火の作用について、正しいものはどれか。,,,,,,燃焼している物から熱を奪って消すことを、冷却消火という。,酸素の供給を断って消すことを、除去消火という。,可燃物を取り除いて消すことを、抑制消火という。,燃焼の連鎖反応を抑えて消すことを、窒息消火という。,消火の作用には、冷却作用しかない。,1,消火には冷却・窒息・除去・抑制の作用がある。,2:酸素の供給を断つのは窒息消火であるため、除去消火とするのは誤りである。除去消火は可燃物を断つ。;3:可燃物を取り除くのは除去消火であるため、抑制消火とするのは誤りである。抑制消火は連鎖反応を抑える。;4:連鎖反応を抑えるのは抑制消火であるため、窒息消火とするのは誤りである。窒息消火は酸素を断つ。;5:消火には冷却や窒息など複数の作用があるため、冷却作用しかないとするのは誤りである。四作用がある。,燃焼している物から熱を奪って消すことを冷却消火という。酸素の供給を断って消すことを窒息消火という。可燃物を取り除いて消すことを除去消火という。燃焼の連鎖反応を抑えて消すことを抑制消火という。したがって熱を奪うのを冷却消火とする記述が正しい。,消火には冷却・窒息・除去・抑制の四つの作用がある。,四つの消火作用が何を断つのかを正しく対応づける。,verbatim
793,single,物性・化学,PC-237;PC-155;蒸気比重;蒸気比重と滞留;応用;重点,可燃性蒸気の蒸気比重について、正しいものはどれか。,,,,,,蒸気比重は、蒸気と水の重さを比べた値である。,第4類の蒸気は、すべて空気より軽い。,蒸気比重が1より大きい蒸気は、上へ拡散する。,第4類の蒸気は空気より重く、低い場所に滞留しやすい。,蒸気比重が大きいほど、蒸気は上に上がりやすい。,4,第4類の蒸気は空気より重く、低い場所に滞留しやすい。,1:蒸気比重は蒸気と空気を比べた値であるため、水と比べるとするのは誤りである。基準が異なる。;2:第4類の蒸気は空気より重いため、すべて空気より軽いとするのは誤りである。低い所にたまる。;3:蒸気比重が1より大きい蒸気は下に滞留するため、上へ拡散とするのは誤りである。低所に集まる。;5:蒸気比重が大きいほど下に滞留するため、上に上がりやすいとするのは誤りである。重いためである。,蒸気比重はその蒸気の重さを空気と比べた値である。第4類の蒸気はすべて空気より重く蒸気比重は1より大きい。そのため蒸気は低い場所に滞留しやすい。滞留した蒸気は離れた火源にも引火する。したがって空気より重く低所に滞留するとする記述が正しい。,第4類の蒸気は空気より重く、低い場所に滞留しやすい。,蒸気比重は空気基準で、第4類は1より大きい点を押さえる。,verbatim
794,single,法令・制度,L-341;LAW-160;セルフ給油取扱所;顧客用固定給油設備の監視;応用;網羅,顧客が自ら給油するセルフ式の給油取扱所について、正しいものはどれか。,,,,,,セルフ式では、危険物取扱者がいなくてもよい。,セルフ式では、顧客が自由に無制限に給油できる。,セルフ式では、従業員の監視は不要である。,セルフ式では、給油の可否を制御する設備はいらない。,顧客が自ら給油する給油取扱所では、危険物取扱者が監視し制御する。,5,セルフ式でも危険物取扱者が制御卓から監視し給油を制御する。,1:セルフ式でも取扱者の監視が必要であるため、いなくてもよいとするのは誤りである。常駐が要る。;2:セルフ式は給油が制御されるため、無制限に給油できるとするのは誤りである。安全に管理される。;3:セルフ式でも従業員の監視が必要であるため、不要とするのは誤りである。事故防止のためである。;4:セルフ式には給油を制御する設備が必要であるため、いらないとするのは誤りである。安全のためである。,顧客が自ら給油する給油取扱所では危険物取扱者が制御卓から監視し給油を制御する。顧客用の固定給油設備には安全のための制御が組み込まれる。危険物取扱者の常駐と監視が必要である。無制限に給油させることはできない。したがって取扱者が監視し制御するとする記述が正しい。,セルフ式でも取扱者が監視し給油を制御する。,セルフ式は顧客が給油しても有資格者の監視制御が必要である。,verbatim
795,single,火災・消火・漏えい,PF-238;PF-148;火災の区分;A火災B火災C火災;応用;網羅,火災の区分（A火災・B火災・C火災）について、正しいものはどれか。,,,,,,木材や紙による火災を、B火災という。,引火性液体による火災を、B火災（油火災）という。,電気設備による火災を、A火災という。,油による火災を、C火災という。,普通火災は、C火災と呼ばれる。,2,A火災は普通火災、B火災は油火災、C火災は電気火災である。,1:木材や紙による火災はA火災であるため、B火災とするのは誤りである。B火災は油火災である。;3:電気設備による火災はC火災であるため、A火災とするのは誤りである。A火災は普通火災である。;4:油による火災はB火災であるため、C火災とするのは誤りである。C火災は電気火災である。;5:普通火災はA火災であるため、C火災と呼ばれるとするのは誤りである。C火災は電気火災である。,引火性液体による火災をB火災または油火災という。木材や紙などによる普通火災はA火災である。電気設備による火災はC火災である。火災は燃えるものによって区分される。したがって引火性液体による火災をB火災とする記述が正しい。,A火災は普通、B火災は油、C火災は電気の火災である。,火災の区分と対応する消火設備の適応を結びつけて覚える。,verbatim
796,single,法令・制度,L-342;LAW-161;運搬車両の標識;危の標識の掲示;応用;網羅,指定数量以上の危険物を運搬する車両の標識について、正しいものはどれか。,,,,,,指定数量以上を運搬する車両は、前後に「危」の標識を掲げる。,運搬車両の標識は、車両の側面だけに掲げる。,「危」の標識は、白地に赤文字と決められている。,指定数量以上でも、車両に標識はいらない。,運搬車両の標識は、運転席の中に置けばよい。,1,指定数量以上を運搬する車両は前後に「危」の標識を掲げる。,2:標識は前後に掲げるため、側面だけに掲げるとするのは誤りである。前後の見やすい位置に示す。;3:危の標識は黒地に黄色の反射であるため、白地に赤文字とするのは誤りである。色が定められている。;4:指定数量以上は標識が必要であるため、いらないとするのは誤りである。危の表示を掲げる。;5:標識は車外の前後に掲げるため、運転席の中に置けばよいとするのは誤りである。外から見えるようにする。,指定数量以上の危険物を運搬する車両は前後の見やすい位置に危の標識を掲げる。標識は0.3メートル平方以上で地は黒色に黄色の反射で表す。側面だけではなく前後に掲げる。標識を省くことはできない。したがって前後に危の標識を掲げるとする記述が正しい。,運搬車両は前後に黒地に黄反射の「危」の標識を掲げる。,掲示位置と標識の色や大きさをあわせて押さえる。,verbatim
797,single,物性・化学,PC-238;PC-156;単体化合物混合物;物質の分類;標準;網羅,単体・化合物・混合物の分類について、正しいものはどれか。,,,,,,空気は、1種類の物質からなる単体である。,鉄は、2種類以上の元素からなる化合物である。,食塩水は、化合物である。,水は、水素と酸素からなる化合物である。,酸素は、混合物である。,4,水は水素と酸素の化合物、空気や食塩水は混合物である。,1:空気は混合物であるため、単体とするのは誤りである。窒素や酸素などが混ざっている。;2:鉄は1種類の元素からなる単体であるため、化合物とするのは誤りである。元素の数が違う。;3:食塩水は水と食塩が混ざった混合物であるため、化合物とするのは誤りである。結合していない。;5:酸素は1種類の元素からなる単体であるため、混合物とするのは誤りである。混ざり物ではない。,水は水素と酸素からなる化合物である。空気は窒素や酸素などが混ざった混合物である。鉄や酸素は1種類の元素からなる単体である。食塩水は水と食塩の混合物である。したがって水は化合物とする記述が正しい。,単体・化合物・混合物を代表例で正しく区別する。,元素の種類と結合の有無で三つの分類を見分ける。,verbatim
798,single,法令・制度,L-343;LAW-162;タンクの容量;内容積と空間容積の計算;難関;総合,内容積が10000Lのタンクで空間容積を内容積の5%とるとき、危険物を入れられる容量はいくらか。,,,,,,500L,5000L,9000L,9450L,9500L,5,容量は内容積10000Lから空間容積500Lを引いた9500Lである。,1:容量は内容積から空間容積を引くため、500Lとするのは誤りである。500Lは空間容積である。;2:容量は9500Lであるため、5000Lとするのは誤りである。内容積の半分ではない。;3:容量は9500Lであるため、9000Lとするのは誤りである。空間容積は500Lである。;4:容量は9500Lであるため、9450Lとするのは誤りである。5%は500Lで計算する。,タンクの容量は内容積から空間容積を引いた量である。空間容積は内容積の5%で10000×0.05の500Lである。容量は10000から500を引いて9500Lになる。したがってタンクの容量は9500Lが正しい。,容量は内容積から空間容積を引いて9500Lになる。,タンク容量＝内容積－空間容積の関係で計算する。,verbatim
799,single,火災・消火・漏えい,PF-239;PF-149;消火剤と適応火災;消火剤の適応の組合せ;応用;総合,消火剤と適応する火災について、次のうち正しいものの組合せはどれか。,"ア　水消火剤は、普通火災に適応する。
イ　泡消火剤は、電気火災に最も適応する。
ウ　二酸化炭素消火剤は、電気火災に適応する。
エ　強化液は、普通火災には適応しない。
オ　粉末（ABC）消火剤は、油火災には適応しない。",,,,,アとイ,イとエ,アとウ,ウとオ,エとオ,3,水は普通火災、二酸化炭素は電気火災に適応し、アとウが正しい。,1:イが誤りでアとウが正しいため、アとイの組合せは誤りである。泡は電気火災に適さない。;2:イとエがともに誤りであるため、イとエの組合せは誤りである。強化液は普通火災に適応する。;4:オが誤りでアとウが正しいため、ウとオの組合せは誤りである。粉末ABCは油火災に適応する。;5:エとオがともに誤りであるため、エとオの組合せは誤りである。粉末ABCは油火災にも使える。,水は普通火災に適応し二酸化炭素は電気火災に適応するため、アとウが正しい。泡は油火災向きで電気火災には適さない。強化液は普通火災に適応する。粉末ABCは油火災にも適応する。したがって正しい組合せはアとウである。,水は普通火災、二酸化炭素は電気火災に適応する。,各消火剤がどの火災に適応するかを整理して覚える。,verbatim
800,single,法令・制度,L-344;LAW-163;取扱いの基準;詰め替えと注入の基準;応用;網羅,危険物の取扱いの基準について、正しいものはどれか。,,,,,,危険物の詰め替えは、火気のそばで行ってよい。,危険物を容器に詰め替えるときは、防火上安全な場所で行う。,タンクへ注入するときは、流速を速くするほどよい。,危険物の取扱いでは、静電気に注意する必要はない。,危険物は、決められた温度を超えて加熱してよい。,2,詰め替えは安全な場所で行い、注入は流速を抑え静電気に注意する。,1:詰め替えは安全な場所で行うため、火気のそばで行ってよいとするのは誤りである。引火を防ぐ。;3:注入は流速を抑えるため、速くするほどよいとするのは誤りである。静電気の発生を防ぐ。;4:取扱いでは静電気に注意が必要であるため、注意する必要はないとするのは誤りである。火花に備える。;5:決められた温度を超えて加熱できないため、加熱してよいとするのは誤りである。温度管理が必要である。,危険物を容器に詰め替えるときは防火上安全な場所で行う。タンクへ注入するときは静電気の発生を抑えるため流速を制限する。取扱い中は静電気による火花に注意する。決められた温度を超えて加熱してはならない。したがって防火上安全な場所で詰め替えるとする記述が正しい。,詰め替えは安全な場所で行い、注入は流速を抑える。,詰め替え・注入・加熱それぞれの注意点を押さえる。,verbatim
